metric,low_case,base_case,high_case,notes
free_assisted_pilot_price_eur,0,0,0,primer piloto gratuito y asistido
pilot_setup_fee_hypothesis_eur,150,250,300,solo despues de validar utilidad real
monthly_refresh_hypothesis_eur,60,90,150,hipotesis para ciclos de 30 dias revisados
assisted_plan_hypothesis_eur_month,250,350,400,revision manual y soporte adicional
active_paid_clients_after_validation,3,5,8,no objetivo antes de pilotos comparables
monthly_revenue_after_validation_eur,630,1700,3800,setup fee amortizado mas recurrencia simple
vercel_monthly_cost_eur,20,40,70,hosting segun uso real
managed_postgres_monthly_cost_eur,30,45,60,provider compatible via DATABASE_URL
resend_monthly_cost_eur,15,20,30,email transaccional
analytics_monthly_cost_eur,0,20,40,PostHog u otra analitica si se usa
email_domain_tools_monthly_cost_eur,10,25,40,dominio email y utilidades basicas
accounting_legal_monthly_cost_eur,80,120,200,gestoria y soporte legal inicial
llm_cost_per_active_account_eur,0,0,15,solo si se activa refinamiento controlado despues
support_cost_per_active_account_eur,5,10,20,si el soporte se mantiene asincrono y acotado
target_payback_months,3,3,4,objetivo posterior a validacion
target_logo_churn_monthly_pct,3,4,6,referencia futura para fase recurrente
